,name,scan_day,operator
478,Allen County Public Library Geneaology Center,2010-04-15,13
479,Allen County Public Library Geneaology Center,2010-04-16,14
480,Allen County Public Library Geneaology Center,2010-04-19,14
481,Allen County Public Library Geneaology Center,2010-04-20,12
482,Allen County Public Library Geneaology Center,2010-04-21,11
483,Allen County Public Library Geneaology Center,2010-04-22,12
484,Allen County Public Library Geneaology Center,2010-04-23,13
485,Allen County Public Library Geneaology Center,2010-04-26,12
486,Allen County Public Library Geneaology Center,2010-04-27,11
487,Allen County Public Library Geneaology Center,2010-04-28,14
488,Allen County Public Library Geneaology Center,2010-04-29,12
489,Allen County Public Library Geneaology Center,2010-04-30,15
490,Allen County Public Library Geneaology Center,2010-05-03,14
491,Allen County Public Library Geneaology Center,2010-05-04,12
492,Allen County Public Library Geneaology Center,2010-05-05,14
493,Allen County Public Library Geneaology Center,2010-05-06,11
494,Allen County Public Library Geneaology Center,2010-05-07,12
495,Allen County Public Library Geneaology Center,2010-05-10,14
496,Allen County Public Library Geneaology Center,2010-05-11,10
497,Allen County Public Library Geneaology Center,2010-05-12,12
498,Allen County Public Library Geneaology Center,2010-05-13,9
499,Allen County Public Library Geneaology Center,2010-05-14,14
500,Allen County Public Library Geneaology Center,2010-05-17,12
501,Allen County Public Library Geneaology Center,2010-05-18,15
502,Allen County Public Library Geneaology Center,2010-05-19,15
503,Allen County Public Library Geneaology Center,2010-05-20,14
504,Allen County Public Library Geneaology Center,2010-05-21,13
505,Allen County Public Library Geneaology Center,2010-05-24,13
506,Allen County Public Library Geneaology Center,2010-05-25,14
507,Allen County Public Library Geneaology Center,2010-05-26,11
508,Allen County Public Library Geneaology Center,2010-05-27,8
509,Allen County Public Library Geneaology Center,2010-05-28,13
510,Allen County Public Library Geneaology Center,2010-06-01,14
511,Allen County Public Library Geneaology Center,2010-06-02,12
512,Allen County Public Library Geneaology Center,2010-06-03,13
513,Allen County Public Library Geneaology Center,2010-06-04,11
514,Allen County Public Library Geneaology Center,2010-06-07,12
515,Allen County Public Library Geneaology Center,2010-06-08,13
