,month_year,center_type,index,name,books_scanned
272,2010-11,bpo,1287,Datum Data Co. Ltd.,1128
273,2010-11,government,5283,Library of CongressSmithsonian Libraries and Archives,2119
274,2010-11,hq,1995,Internet Archive Headquarters,890
275,2010-11,public,671,Allen County Public Library Geneaology CenterBoston Public Library,3609
276,2010-12,academic,33274,"BYU, ProvoBrown UniversityColumbia UniversityDuke UniversityNational Library of ScotlandPrinceton UniversityUCLAUIUCUNC Chapel HillUniversidad Francisco MarroquínUniversity of Chinese Academy of SciencesUniversity of Toronto",8216
277,2010-12,archive,1123,Church History Library,37
278,2010-12,bpo,1288,Datum Data Co. Ltd.,3326
279,2010-12,government,5285,Library of CongressSmithsonian Libraries and Archives,1680
280,2010-12,hq,1996,Internet Archive Headquarters,822
281,2010-12,museum,2541,"Natural History Museum Library, London",1
282,2010-12,public,673,Allen County Public Library Geneaology CenterBoston Public Library,3536
283,2011-01,academic,33286,"BYU, ProvoBrown UniversityColumbia UniversityDuke UniversityNational Library of ScotlandPrinceton UniversityUCLAUIUCUNC Chapel HillUniversidad Francisco MarroquínUniversity of Chinese Academy of SciencesUniversity of Toronto",9300
284,2011-01,archive,1124,Church History Library,70
285,2011-01,bpo,1289,Datum Data Co. Ltd.,3388
286,2011-01,government,5287,Library of CongressSmithsonian Libraries and Archives,1517
287,2011-01,hq,1997,Internet Archive Headquarters,1
288,2011-01,public,675,Allen County Public Library Geneaology CenterBoston Public Library,4502
289,2011-02,academic,33298,"BYU, ProvoBrown UniversityColumbia UniversityDuke UniversityNational Library of ScotlandPrinceton UniversityUCLAUIUCUNC Chapel HillUniversidad Francisco MarroquínUniversity of Chinese Academy of SciencesUniversity of Toronto",8284
290,2011-02,archive,1125,Church History Library,49
291,2011-02,bpo,1290,Datum Data Co. Ltd.,2820
292,2011-02,government,5289,Library of CongressSmithsonian Libraries and Archives,1975
293,2011-02,hq,1998,Internet Archive Headquarters,2
294,2011-02,public,677,Allen County Public Library Geneaology CenterBoston Public Library,3320
295,2011-03,academic,33310,"BYU, ProvoBrown UniversityColumbia UniversityDuke UniversityNational Library of ScotlandPrinceton UniversityUCLAUIUCUNC Chapel HillUniversidad Francisco MarroquínUniversity of Chinese Academy of SciencesUniversity of Toronto",10951
296,2011-03,archive,1126,Church History Library,71
297,2011-03,bpo,1291,Datum Data Co. Ltd.,7257
298,2011-03,government,5291,Library of CongressSmithsonian Libraries and Archives,1989
299,2011-03,museum,2542,"Natural History Museum Library, London",54
300,2011-03,public,679,Allen County Public Library Geneaology CenterBoston Public Library,4232
301,2011-04,academic,33322,"BYU, ProvoBrown UniversityColumbia UniversityDuke UniversityNational Library of ScotlandPrinceton UniversityUCLAUIUCUNC Chapel HillUniversidad Francisco MarroquínUniversity of Chinese Academy of SciencesUniversity of Toronto",8470
302,2011-04,archive,1127,Church History Library,47
303,2011-04,bpo,1292,Datum Data Co. Ltd.,9236
304,2011-04,government,5293,Library of CongressSmithsonian Libraries and Archives,3047
305,2011-04,hq,1999,Internet Archive Headquarters,15
306,2011-04,museum,2543,"Natural History Museum Library, London",34
307,2011-04,public,681,Allen County Public Library Geneaology CenterBoston Public Library,4221
308,2011-05,academic,33334,"BYU, ProvoBrown UniversityColumbia UniversityDuke UniversityNational Library of ScotlandPrinceton UniversityUCLAUIUCUNC Chapel HillUniversidad Francisco MarroquínUniversity of Chinese Academy of SciencesUniversity of Toronto",8519
309,2011-05,archive,1128,Church History Library,182
310,2011-05,bpo,3133,Datum Data Co. Ltd.Hong Kong,6580
311,2011-05,government,5295,Library of CongressSmithsonian Libraries and Archives,2935
312,2011-05,hq,2000,Internet Archive Headquarters,6
313,2011-05,museum,2544,"Natural History Museum Library, London",28
314,2011-05,public,683,Allen County Public Library Geneaology CenterBoston Public Library,4339
315,2011-06,academic,32438,"BYU, Idaho Family History LibraryBYU, ProvoBrown UniversityDuke UniversityNational Library of ScotlandPrinceton UniversityUCLAUIUCUNC Chapel HillUniversidad Francisco MarroquínUniversity of Chinese Academy of SciencesUniversity of Toronto",8352
316,2011-06,archive,1129,Church History Library,58
317,2011-06,bpo,1294,Datum Data Co. Ltd.,8957
318,2011-06,government,5297,Library of CongressSmithsonian Libraries and Archives,3022
319,2011-06,museum,2545,"Natural History Museum Library, London",68
320,2011-06,public,685,Allen County Public Library Geneaology CenterBoston Public Library,4438
321,2011-07,academic,38884,"BYU, HawaiiBYU, Idaho Family History LibraryBYU, ProvoBrown UniversityColumbia UniversityDuke UniversityNational Library of ScotlandPrinceton UniversityUCLAUIUCUNC Chapel HillUniversidad Francisco MarroquínUniversity of Chinese Academy of SciencesUniversity of TorontoZhejiang University",7129
322,2011-07,archive,4441,Church History LibraryThe Archive of Contemporary Music,630
323,2011-07,bpo,1295,Datum Data Co. Ltd.,14270
324,2011-07,government,5299,Library of CongressSmithsonian Libraries and Archives,3448
325,2011-07,museum,2546,"Natural History Museum Library, London",56
326,2011-07,public,687,Allen County Public Library Geneaology CenterBoston Public Library,3843
327,2011-08,academic,32797,"BYU, HawaiiBYU, Idaho Family History LibraryBYU, ProvoBrown UniversityDuke UniversityNational Library of ScotlandPrinceton UniversityUCLAUIUCUNC Chapel HillUniversidad Francisco MarroquínUniversity of Chinese Academy of SciencesUniversity of Toronto",7331
328,2011-08,archive,4443,Church History LibraryThe Archive of Contemporary Music,417
329,2011-08,bpo,3137,Datum Data Co. Ltd.Hong Kong,14828
